id,path,method,path_vars
pim_api_locale_list,/api/rest/v1/locales,GET,[]
pim_api_locale_get,/api/rest/v1/locales/{code},GET,['code']
pim_api_channel_list,/api/rest/v1/channels,GET,[]
pim_api_channel_get,/api/rest/v1/channels/{code},GET,['code']
pim_api_channel_create,/api/rest/v1/channels,POST,[]
pim_api_channel_partial_update,/api/rest/v1/channels/{code},PATCH,['code']
pim_api_channel_partial_update_list,/api/rest/v1/channels,PATCH,[]
pim_api_currency_list,/api/rest/v1/currencies,GET,[]
pim_api_currency_get,/api/rest/v1/currencies/{code},GET,['code']
pim_api_attribute_list,/api/rest/v1/attributes,GET,[]
pim_api_attribute_create,/api/rest/v1/attributes,POST,[]
pim_api_attribute_partial_update,/api/rest/v1/attributes/{code},PATCH,['code']
pim_api_attribute_get,/api/rest/v1/attributes/{code},GET,['code']
pim_api_attribute_partial_update_list,/api/rest/v1/attributes,PATCH,[]
pim_api_attribute_option_list,/api/rest/v1/attributes/{attributeCode}/options,GET,['attributeCode']
pim_api_attribute_option_create,/api/rest/v1/attributes/{attributeCode}/options,POST,['attributeCode']
pim_api_attribute_option_partial_update,/api/rest/v1/attributes/{attributeCode}/options/{code},PATCH,"['attributeCode', 'code']"
pim_api_attribute_option_partial_update_list,/api/rest/v1/attributes/{attributeCode}/options,PATCH,['attributeCode']
pim_api_attribute_option_get,/api/rest/v1/attributes/{attributeCode}/options/{code},GET,"['attributeCode', 'code']"
pim_api_attribute_group_list,/api/rest/v1/attribute-groups,GET,[]
pim_api_attribute_group_create,/api/rest/v1/attribute-groups,POST,[]
pim_api_attribute_group_get,/api/rest/v1/attribute-groups/{code},GET,['code']
pim_api_attribute_group_partial_update,/api/rest/v1/attribute-groups/{code},PATCH,['code']
pim_api_attribute_group_partial_update_list,/api/rest/v1/attribute-groups,PATCH,[]
pim_api_family_list,/api/rest/v1/families,GET,[]
pim_api_family_get,/api/rest/v1/families/{code},GET,['code']
pim_api_family_create,/api/rest/v1/families,POST,[]
pim_api_family_partial_update,/api/rest/v1/families/{code},PATCH,['code']
pim_api_family_partial_update_list,/api/rest/v1/families,PATCH,[]
pim_api_family_variant_list,/api/rest/v1/families/{familyCode}/variants,GET,['familyCode']
pim_api_family_variant_get,/api/rest/v1/families/{familyCode}/variants/{code},GET,"['familyCode', 'code']"
pim_api_family_variant_create,/api/rest/v1/families/{familyCode}/variants,POST,['familyCode']
pim_api_family_variant_partial_update,/api/rest/v1/families/{familyCode}/variants/{code},PATCH,"['familyCode', 'code']"
pim_api_family_variant_partial_update_list,/api/rest/v1/families/{familyCode}/variants,PATCH,['familyCode']
pim_api_association_type_list,/api/rest/v1/association-types,GET,[]
pim_api_association_type_get,/api/rest/v1/association-types/{code},GET,['code']
pim_api_association_type_create,/api/rest/v1/association-types,POST,[]
pim_api_association_type_partial_update,/api/rest/v1/association-types/{code},PATCH,['code']
pim_api_association_type_partial_update_list,/api/rest/v1/association-types,PATCH,[]
pim_api_product_model_list,/api/rest/v1/product-models,GET,[]
pim_api_product_model_get,/api/rest/v1/product-models/{code},GET,['code']
pim_api_product_model_create,/api/rest/v1/product-models,POST,[]
pim_api_product_model_partial_update,/api/rest/v1/product-models/{code},PATCH,['code']
pim_api_product_model_partial_update_list,/api/rest/v1/product-models,PATCH,[]
pim_api_category_list,/api/rest/v1/categories,GET,[]
pim_api_category_get,/api/rest/v1/categories/{code},GET,['code']
pim_api_category_create,/api/rest/v1/categories,POST,[]
pim_api_category_partial_update,/api/rest/v1/categories/{code},PATCH,['code']
pim_api_category_partial_update_list,/api/rest/v1/categories,PATCH,[]
pim_api_product_list,/api/rest/v1/products,GET,[]
pim_api_product_get,/api/rest/v1/products/{code},GET,['code']
pim_api_product_create,/api/rest/v1/products,POST,[]
pim_api_product_partial_update,/api/rest/v1/products/{code},PATCH,['code']
pim_api_product_partial_update_list,/api/rest/v1/products,PATCH,[]
pim_api_product_delete,/api/rest/v1/products/{code},DELETE,['code']
pim_api_media_file_list,/api/rest/v1/media-files,GET,[]
pim_api_media_file_download,/api/rest/v1/media-files/{code}/download,GET,['code']
pim_api_media_file_get,/api/rest/v1/media-files/{code},GET,['code']
pim_api_media_file_create,/api/rest/v1/media-files,POST,[]
legacy_pim_api_measure_family_list,/api/rest/v1/measure-families,GET,[]
legacy_pim_api_measure_family_get,/api/rest/v1/measure-families/{code},GET,['code']
pim_api_measurement_family_get,/api/rest/v1/measurement-families,GET,[]
pim_api_measurement_family_create_or_update,/api/rest/v1/measurement-families,PATCH,[]
