code,enabled
ADP,False
AED,False
AFA,False
AFN,False
ALK,False
ALL,False
AMD,False
ANG,False
AOA,False
AOK,False
AON,False
AOR,False
ARA,False
ARL,False
ARM,False
ARP,False
ARS,False
ATS,False
AUD,False
AWG,False
AZM,False
AZN,False
BAD,False
BAM,False
BAN,False
BBD,False
BDT,False
BEC,False
BEF,False
BEL,False
BGL,False
BGM,False
BGN,False
BGO,False
BHD,False
BIF,False
BMD,False
BND,False
BOB,False
BOL,False
BOP,False
BOV,False
BRB,False
BRC,False
BRE,False
BRL,False
BRN,False
BRR,False
BRZ,False
BSD,False
BTN,False
BUK,False
BWP,False
BYB,False
BYR,False
BZD,False
CAD,False
CDF,False
CHE,False
CHF,False
CHW,False
CLE,False
CLF,False
CLP,False
CNX,False
CNY,False
COP,False
COU,False
CRC,False
CSD,False
CSK,False
CUC,False
CUP,False
CVE,False
CYP,False
CZK,False
DDM,False
DEM,False
DJF,False
DKK,False
DOP,False
DZD,False
ECS,False
ECV,False
EEK,False
EGP,False
ERN,False
ESA,False
ESB,False
ESP,False
ETB,False
EUR,True
FIM,False
FJD,False
FKP,False
FRF,False
GBP,False
GEK,False
GEL,False
GHC,False
GHS,False
GIP,False
GMD,False
GNF,False
GNS,False
GQE,False
GRD,False
GTQ,False
GWE,False
GWP,False
GYD,False
HKD,False
HNL,False
HRD,False
HRK,False
HTG,False
HUF,False
IDR,False
IEP,False
ILP,False
ILR,False
ILS,False
INR,False
IQD,False
IRR,False
ISJ,False
ISK,False
ITL,False
JMD,False
JOD,False
JPY,False
KES,False
KGS,False
KHR,False
KMF,False
KPW,False
KRH,False
KRO,False
KRW,False
KWD,False
KYD,False
KZT,False
LAK,False
LBP,False
LKR,False
LRD,False
LSL,False
LTL,False
LTT,False
LUC,False
LUF,False
LUL,False
LVL,False
LVR,False
LYD,False
MAD,False
MAF,False
MCF,False
MDC,False
MDL,False
MGA,False
MGF,False
MKD,False
MKN,False
MLF,False
MMK,False
MNT,False
MOP,False
MRO,False
MTL,False
MTP,False
MUR,False
MVP,False
MVR,False
MWK,False
MXN,False
MXP,False
MXV,False
MYR,False
MZE,False
MZM,False
MZN,False
NAD,False
NGN,False
NIC,False
NIO,False
NLG,False
NOK,False
NPR,False
NZD,False
OMR,False
PAB,False
PEI,False
PEN,False
PES,False
PGK,False
PHP,False
PKR,False
PLN,False
PLZ,False
PTE,False
PYG,False
QAR,False
RHD,False
ROL,False
RON,False
RSD,False
RUB,False
RUR,False
RWF,False
SAR,False
SBD,False
SCR,False
SDD,False
SDG,False
SDP,False
SEK,False
SGD,False
SHP,False
SIT,False
SKK,False
SLL,False
SOS,False
SRD,False
SRG,False
SSP,False
STD,False
SUR,False
SVC,False
SYP,False
SZL,False
THB,False
TJR,False
TJS,False
TMM,False
TMT,False
TND,False
TOP,False
TPE,False
TRL,False
TRY,False
TTD,False
TWD,False
TZS,False
UAH,False
UAK,False
UGS,False
UGX,False
USD,True
USN,False
USS,False
UYI,False
UYP,False
UYU,False
UZS,False
VEB,False
VEF,False
VND,False
VNN,False
VUV,False
WST,False
XAF,False
XAU,False
XBA,False
XBB,False
XBC,False
XBD,False
XCD,False
XDR,False
XEU,False
XFO,False
XFU,False
XOF,False
XPD,False
XPF,False
XRE,False
XSU,False
XTS,False
XXX,False
YDD,False
YER,False
YUD,False
YUM,False
YUN,False
YUR,False
ZAL,False
ZAR,False
ZMK,False
ZMW,False
ZRN,False
ZRZ,False
ZWD,False
ZWL,False
ZWR,False
